S/N,Coursetitle,Course Code,program,Level,Unit,Semester,Session,venue 
1,Introduction to Political Science,POL 101,Political Science and Diplomacy,100,2,First,2023/2024,MPH
2,Leadership Studies 1,VUA-PSD 107,Political Science and Diplomacy,100,2,First,2023/2024,MPH
3,Nationalism,VUA-PSD 109,Political Science and Diplomacy,100,2,First,2023/2024,MPH
4,Nigerian Constitutional Development,POL 105,Political Science and Diplomacy,100,2,First,2023/2024,MPH
5,Organization of Government,POL 103,Political Science and Diplomacy,100,2,First,2023/2024,MPH
6,Ethics,VUA-ETH 171,Political Science and Diplomacy,100,1,First,2023/2024,MPH
7,Communication In English,GST 111,Political Science and Diplomacy,100,2,First,2023/2024,MPH
8,Principles of Economics I,ECO 101,Political Science and Diplomacy,100,2,First,2023/2024,MPH
9,Introduction to Political Science,PSD 101,Political Science and Diplomacy,100,3,First,2023/2024,MPH
10,Introduction to African Politics,PSD 111,Political Science and Diplomacy,100,2,First,2023/2024,MPH
11,Introduction to Social Sciences,FSS 101,Political Science and Diplomacy,100,2,First,2023/2024,MPH
23,INTRODUCTION TO ENTREPRENEURSHIP,GST 223,Political Science and Diplomacy,200,2,First,2023/2024,MPH
24,PEACE STUDY AND CONFLICT RESOLUTION,GST 221,Political Science and Diplomacy,200,2,First,2023/2024,AUD
25,BASIC SPIRITUAL THEOLOGY,GST 211,Political Science and Diplomacy,200,0,First,2023/2024,AUD
26,Oral Communication in French,FRE 211,Political Science and Diplomacy,200,3,First,2023/2024,AUD
27,Oral Communication in French,FRE 211,Political Science and Diplomacy,200,3,First,2023/2024,AUD
28,Introduction to Diplomacy,PSD 251,Political Science and Diplomacy,200,2,First,2023/2024,AUD
29,Introduction to Comparative Politics,PSD 231,Political Science and Diplomacy,200,2,First,2023/2024,AUD
30,Introduction to International Relations,PSD 211,Political Science and Diplomacy,200,2,First,2023/2024,AUD
31,Elements of Public Administration,PAD 221,Political Science and Diplomacy,200,3,First,2023/2024,AUD
32,Nigerian Government &amp; Politics I,PSD 241,Political Science and Diplomacy,200,2,First,2023/2024,AUD
33,Introduction to Political Analysis,PSD 201,Political Science and Diplomacy,200,2,First,2023/2024,AUD
34,Introduction to Social Statistics,PSD 261,Political Science and Diplomacy,200,2,First,2023/2024,AUD
35,Introduction to Public Administration,PSD 221,Political Science and Diplomacy,200,2,First,2023/2024,AUD
36,Communication in French,FRE 211,Political Science and Diplomacy,200,2,First,2023/2024,AUD
49,Politics of Development &amp; Underdevelopment,PSD 371,Political Science and Diplomacy,300,2,First,2023/2024,CBT
50,Conflict Resolution: Theory &amp; Practice,PSD 391,Political Science and Diplomacy,300,2,First,2023/2024,CBT
51,Entrepreneurship Advanced Skills,GST 311,Political Science and Diplomacy,300,2,First,2023/2024,CBT
52,Introduction to Security and Strategic Studies,PSD 333,Political Science and Diplomacy,300,2,First,2023/2024,CBT
53,The Methodology of Comparative Politics,PSD 351,Political Science and Diplomacy,300,2,First,2023/2024,CBT
54,Theory &amp; Practice of Marxism,PSD 381,Political Science and Diplomacy,300,2,First,2023/2024,CBT
55,Theory and Practice of Administration,PSD 341,Political Science and Diplomacy,300,2,First,2023/2024,CBT
56,History of Political Thought 1,PSD 301,Political Science and Diplomacy,300,2,First,2023/2024,CBT
57,Logic and Method of Political Inquiry,PSD 311,Political Science and Diplomacy,300,2,First,2023/2024,CBT
58,THEORY OF INTERNATIONAL RELATIONS,PSD 321,Political Science and Diplomacy,300,2,First,2023/2024,CBT
59,Contemporary Political Analysis,PSD 331,Political Science and Diplomacy,300,2,First,2023/2024,CBT
60,Comparative Federalism,PSD 361,Political Science and Diplomacy,300,2,First,2023/2024,CBT
72,State and Economy,PSD 421,Political Science and Diplomacy,400,3,First,2023/2024,CBT
73,Development Administration,PAD 461,Political Science and Diplomacy,400,3,First,2023/2024,CBT
74,Military in Politics,PSD 411,Political Science and Diplomacy,400,3,First,2023/2024,CBT
75,Politics &amp; Law in Africa,PSD 441,Political Science and Diplomacy,400,3,First,2023/2024,CBT
76,Third World &amp; Dependency,PSD 431,Political Science and Diplomacy,400,3,First,2023/2024,OLDLIB
77,Political Sociology,PSD 481,Political Science and Diplomacy,400,2,First,2023/2024,OLDLIB
78,Nigerian Local Government,PAD 471,Political Science and Diplomacy,400,2,First,2023/2024,OLDLIB
79,Revolution and Society,PSD 451,Political Science and Diplomacy,400,2,First,2023/2024,OLDLIB
87,Principles of Economics I,ECO 101,Economics,100,2,First,2023/2024,OLDLIB
88,Introductory Mathematics I,ECO 103,Economics,100,2,First,2023/2024,OLDLIB
89,Communication in English,GST 111,Economics,100,2,First,2023/2024,OLDLIB
90,Introduction to Statistics I,VUA-ECO 123,Economics,100,2,First,2023/2024,OLDLIB
91,Ethics,VUA-ETH 171,Economics,100,1,First,2023/2024,OLDLIB
92,Introduction to Moral Economics,VUA-ECO 141,Economics,100,2,First,2023/2024,OLDLIB
93,Introduction to Political Economy,VUA-ECO 143,Economics,100,2,First,2023/2024,OLDLIB
94,Introduction to Nigerian Public Finance,VUA-ECO 145,Economics,100,2,First,2023/2024,OLDLIB
95,Principles of Money and Banking,VUA-ECO 151,Economics,100,2,First,2023/2024,OLDLIB
96,"Use of Library, Study Skills and ICT",GST 121,Economics,100,2,First,2023/2024,OLDLIB
97,History and Philosophy Of Science,GST 115,Economics,100,2,First,2023/2024,OLDLIB
98,Introduction to Financial Accounting and Reporting I,ACC 101,Economics,100,2,First,2023/2024,OLDLIB
99,General Mathematics I,MTH 101,Economics,100,3,First,2023/2024,OLDLIB
100,Introduction to Social Sciences,FSS 101,Economics,100,2,First,2023/2024,OLDLIB
101,Introduction to Political Science,PSD 101,Economics,100,2,First,2023/2024,OLDLIB
102,Introduction to Business I,BUS 111,Economics,100,2,First,2023/2024,OLDLIB
103,Nigerian People and Culture,GST 113,Economics,100,2,First,2023/2024,OLDLIB
121,Introductory Micro-Economic Theory I,ECO 201,Economics,200,2,First,2023/2024,OLDLIB
122,Introductory Macro-Economic Theory I,ECO 211,Economics,200,2,First,2023/2024,OLDLIB
123,Mathematics for Economists I,ECO 221,Economics,200,2,First,2023/2024,OLDLIB
124,Applied Statistics,ECO 223,Economics,200,2,First,2023/2024,MOOT
125,History and Structure of the Nigerian Economy I,ECO 241,Economics,200,2,First,2023/2024,MOOT
126,Principles of Finance,ECO 251,Economics,200,2,First,2023/2024,MOOT
127,Basic Spiritual Theology,GST 211,Economics,200,1,First,2023/2024,MOOT
128,Peace Studies and Conflict Resolution,GST 221,Economics,200,2,First,2023/2024,MOOT
129,Introduction To Entrepreneurial Skills,GST 223,Economics,200,2,First,2023/2024,MOOT
130,Labour Economics,ECO 283,Economics,200,2,First,2023/2024,MOOT
131,e-Business,BUS 281,Economics,200,2,First,2023/2024,MOOT
132,Financial Accounting &amp; Reporting I,ACC 201,Economics,200,2,First,2023/2024,MOOT
133,Theories of Human Resources and Industrial Relations I,ECO 281,Economics,200,2,First,2023/2024,MOOT
134,Financial Accounting &amp; Reporting I,ACC 201,Economics,200,2,First,2023/2024,MOOT
147,Intermediate Micro-Economic Theory I,ECO 301,Economics,300,2,First,2023/2024,MOOT
148,Intermediate Macro-Economic Theory I,ECO 311,Economics,300,2,First,2023/2024,MOOT
149,History of Economic Thought I,ECO 313,Economics,300,2,First,2023/2024,MOOT
150,Mathematical Economics,ECO 321,Economics,300,2,First,2023/2024,MOOT
151,Introductory Econometrics I,ECO 323,Economics,300,2,First,2023/2024,MOOT
152,Project Evaluation I,ECO 333,Economics,300,2,First,2023/2024,MOOT
153,Public Finance,ECO 341,Economics,300,2,First,2023/2024,MOOT
154,Theories of Economic Development,ECO 335,Economics,300,2,First,2023/2024,MOOT
155,International Economics I,ECO 361,Economics,300,2,First,2023/2024,MOOT
156,Introduction to Entrepreneurship Studies,GST 311,Economics,300,2,First,2023/2024,MOOT
157,Operations Research,ECO 325,Economics,300,2,First,2023/2024,MOOT
158,Applied Monetary Economics,ECO 363,Economics,300,2,First,2023/2024,MOOT
159,Political Economy,ECO 343,Economics,300,2,First,2023/2024,MOOT
173,Advanced Micro-Economic Theory I,ECO 401,Economics,400,2,First,2023/2024,MOOT
174,Advanced Macro-Economic Theory I,ECO 411,Economics,400,2,First,2023/2024,MOOT
175,Applied Statistics II,ECO 421,Economics,400,2,First,2023/2024,MOOT
176,Problems and Policies of Development,ECO 431,Economics,400,2,First,2023/2024,MOOT
177,Economic Planning,ECO 433,Economics,400,2,First,2023/2024,MOOT
178,Comparative Economic Systems,ECO 435,Economics,400,2,First,2023/2024,MOOT
179,Taxation and Fiscal Policy,ECO 451,Economics,400,2,First,2023/2024,MOOT
180,Advanced Mathematical Economics,ECO 423,Economics,400,2,First,2023/2024,MOOT
181,International Finance,ECO 461,Economics,400,2,First,2023/2024,MOOT
182,Industrial Relations and Personnel Management,ECO 481,Economics,400,2,First,2023/2024,MOOT
191,Introduction to Separation Methods,VUA-ICH 151,Industrial Chemistry,100,2,First,2023/2024,MOOT
192,Brewing and Fermentation Chemistry and Technology,VUA-ICH 167,Industrial Chemistry,100,2,First,2023/2024,MOOT
193,Communication in English,GST 111,Industrial Chemistry,100,2,First,2023/2024,MOOT
194,Ethics,VUA-ETH 171,Industrial Chemistry,100,1,First,2023/2024,MOOT
195,Introduction to Computing Sciences,COS 101,Industrial Chemistry,100,3,First,2023/2024,MOOT
196,General Chemistry I,CHM 101,Industrial Chemistry,100,2,First,2023/2024,MOOT
197,General Physics I,PHY 101,Industrial Chemistry,100,2,First,2023/2024,MOOT
198,General Practical Physics I,PHY 107,Industrial Chemistry,100,1,First,2023/2024,MOOT
199,General Biology Practical 1,BIO 103,Industrial Chemistry,100,1,First,2023/2024,MOOT
200,General Chemistry Practical 1,CHM 103,Industrial Chemistry,100,1,First,2023/2024,MOOT
201,Introduction to Computer Science,CSC 101,Industrial Chemistry,100,2,First,2023/2024,MOOT
202,General Practical Chemistry I,CHM 107,Industrial Chemistry,100,1,First,2023/2024,MOOT
203,General Mathematics I,MTH 101,Industrial Chemistry,100,3,First,2023/2024,MOOT
204,General Biology 1,BIO 101,Industrial Chemistry,100,2,First,2023/2024,MOOT
205,Nigerian People and Culture,GST 113,Industrial Chemistry,100,2,First,2023/2024,MOOT
206,ETHICS I,GST 171,Industrial Chemistry,100,1,First,2023/2024,MOOT
207,History and Philosophy Of Science,GST 115,Industrial Chemistry,100,2,First,2023/2024,MOOT
208,"Use of Library, Study Skills and ICT",GST 121,Industrial Chemistry,100,2,First,2023/2024,MOOT
209,Heat and Geometrical Optics,PHY 181,Industrial Chemistry,100,2,First,2023/2024,MOOT
225,Peace Studies and Conflict Resolution,GST 221,Industrial Chemistry,200,2,First,2023/2024,MOOT
226,Basic Spiritual Theology,GST 211,Industrial Chemistry,200,1,First,2023/2024,MOOT
227,Entrepreneurship and Innovation,GST 223,Industrial Chemistry,200,2,First,2023/2024,MOOT
228,Organic Chemistry 1,CHM 221,Industrial Chemistry,200,3,First,2023/2024,MOOT
229,Inorganic Chemistry I,CHM 231,Industrial Chemistry,200,3,First,2023/2024,MOOT
230,Physical Chemistry 1,CHM 241,Industrial Chemistry,200,3,First,2023/2024,MOOT
231,Analytical Chemistry I,CHM 251,Industrial Chemistry,200,3,First,2023/2024,MOOT
232,Electric Circuits and Introductory Electronics,PHY 223,Industrial Chemistry,200,2,First,2023/2024,MOOT
233,Mathematical Methods I,MTH 201,Industrial Chemistry,200,2,First,2023/2024,MOOT
234,General Mathematics I,MTH 101,Industrial Chemistry,200,3,First,2023/2024,MOOT
235,General Chemistry Practical 1,CHM 103,Industrial Chemistry,200,1,First,2023/2024,MOOT
236,Introduction to Computer Science,CSC 101,Industrial Chemistry,200,2,First,2023/2024,MOOT
245,Heterocyclics and Carbocyclics,CHM 321,Industrial Chemistry,300,2,First,2023/2024,MOOT
246,Carbohydrate Chemistry,CHM 325,Industrial Chemistry,300,2,First,2023/2024,MOOT
247,Reaction Kinetics,CHM 341,Industrial Chemistry,300,2,First,2023/2024,MOOT
248,Electrochemistry,CHM 343,Industrial Chemistry,300,2,First,2023/2024,MOOT
249,Atomic and Molecular Structure and Symmetry,CHM 345,Industrial Chemistry,300,2,First,2023/2024,MOOT
250,Chemical Thermodynamics,CHM 347,Industrial Chemistry,300,2,First,2023/2024,MOOT
251,Applied Spectroscopy,CHM 323,Industrial Chemistry,300,2,First,2023/2024,MOOT
252,Instrumental Analysis,CHM 351,Industrial Chemistry,300,2,First,2023/2024,MOOT
253,Polymer Chemistry,CHM 371,Industrial Chemistry,300,2,First,2023/2024,MOOT
254,Entrepreneurship Advanced Skills,GST 311,Industrial Chemistry,300,2,First,2023/2024,MOOT
255,Colour and Textile Chemistry,CHM 361,Industrial Chemistry,300,2,First,2023/2024,MOOT
263,Research Methodology,CHM 401,Industrial Chemistry,400,0,First,2023/2024,MOOT
264,Natural Products Chemistry,CHM 421,Industrial Chemistry,400,2,First,2023/2024,MOOT
265,Coordination Chemistry,CHM 431,Industrial Chemistry,400,2,First,2023/2024,MOOT
266,Quantum Chemistry &amp; Statistical Mechanics,CHM 445,Industrial Chemistry,400,2,First,2023/2024,MOOT
267,Separation Methods,CHM 451,Industrial Chemistry,400,2,First,2023/2024,MOOT
268,Process Chemistry I,CHM 461,Industrial Chemistry,400,2,First,2023/2024,MOOT
269,Industrial Chemicals and Allied Products,CHM 463,Industrial Chemistry,400,2,First,2023/2024,MOOT
270,Industrial Methodology management and Quality Control,CHM 467,Industrial Chemistry,400,2,First,2023/2024,MOOT
271,Rubber Technology,CHM 469,Industrial Chemistry,400,2,First,2023/2024,MOOT
272,Environmental Chemistry,CHM 411,Industrial Chemistry,400,2,First,2023/2024,MOOT
273,Radio and Nuclear Chemistry,CHM 441,Industrial Chemistry,400,2,First,2023/2024,MOOT
274,"Chemistry of Soaps, Detergents, Paints and Adhesives",CHM 465,Industrial Chemistry,400,2,First,2023/2024,MOOT
285,Ethics,VUA-ETH 171,Physics with Electronics,100,1,First,2023/2024,MOOT
286,Introduction to Digital Technology,VUA-PHY 151,Physics with Electronics,100,2,First,2023/2024,MOOT
287,Introduction to Digital Technology,PHY 151,Physics with Electronics,100,2,First,2023/2024,MOOT
288,Ethics,VUA ETH 171,Physics with Electronics,100,1,First,2023/2024,MOOT
289,Introduction to Computer Science,CSC 101,Physics with Electronics,100,3,First,2023/2024,MOOT
290,Communication In English,GST 111,Physics with Electronics,100,2,First,2023/2024,MOOT
291,General Physics III,PHY 103,Physics with Electronics,100,2,First,2023/2024,MOOT
292,Experimental Physics I,PHY 107,Physics with Electronics,100,1,First,2023/2024,MOOT
293,Introduction to Computer Science,CSC 111,Physics with Electronics,100,3,First,2023/2024,MOOT
294,Elementary Mathematics I,MTH 101,Physics with Electronics,100,2,First,2023/2024,MOOT
295,General Physics I,PHY 101,Physics with Electronics,100,2,First,2023/2024,MOOT
296,GENERAL MATHEMATICS I,MTH 101,Physics with Electronics,100,3,First,2023/2024,MOOT
297,Introduction to Computing Sciences,COS 101,Physics with Electronics,100,3,First,2023/2024,MOOT
308,Computer Programming II,CSC 202,Physics with Electronics,200,2,First,2023/2024,MOOT
309,Peace Studies and Conflict Resolution,GST 221,Physics with Electronics,200,2,First,2023/2024,MOOT
310,INTRODUCTION TO ENTREPRENEURSHIP,GST 223,Physics with Electronics,200,2,First,2023/2024,MOOT
311,Linear Algebra,MTH 205,Physics with Electronics,200,2,First,2023/2024,MOOT
312,Electric Circuits and Introductory Electronics,PHY 223,Physics with Electronics,200,2,First,2023/2024,MOOT
313,Experimental Physics III,PHY 211,Physics with Electronics,200,1,First,2023/2024,MOOT
314,Modern Physics,PHY 241,Physics with Electronics,200,3,First,2023/2024,MOOT
315,Introduction to Space Science,PHY 291,Physics with Electronics,200,2,First,2023/2024,MOOT
316,Mathematical Methods I,MTH 201,Physics with Electronics,200,2,First,2023/2024,MOOT
317,Real Analysis 1,MTH 207,Physics with Electronics,200,2,First,2023/2024,MOOT
318,Waves and Vibration,PHY 283,Physics with Electronics,200,3,First,2023/2024,MOOT
319,Basic Spiritual Theology,GST 211,Physics with Electronics,200,2,First,2023/2024,MOOT
333,ENTREPRENUESHIP,GST 311,Physics with Electronics,300,2,First,2023/2024,MOOT
334,Engineering Drawing,PHY 321,Physics with Electronics,300,2,First,2023/2024,MOOT
335,Energy and Environment,PHY 371,Physics with Electronics,300,1,First,2023/2024,MOOT
336,Material Science,PHY 315,Physics with Electronics,300,2,First,2023/2024,MOOT
337,Geophysics I,PHY 373,Physics with Electronics,300,2,First,2023/2024,MOOT
338,Experimental Physics V,PHY 307,Physics with Electronics,300,1,First,2023/2024,MOOT
339,Electromagnetism,PHY 331,Physics with Electronics,300,3,First,2023/2024,MOOT
340,Electronics I,PHY 323,Physics with Electronics,300,2,First,2023/2024,MOOT
341,Analytical Mechanics II,PHY 313,Physics with Electronics,300,3,First,2023/2024,MOOT
342,Solid State Physics I,PHY 381,Physics with Electronics,300,3,First,2023/2024,MOOT
343,Workshop Practice,PHY 311,Physics with Electronics,300,1,First,2023/2024,MOOT
344,Geophysics I,PHY 373,Physics with Electronics,300,2,First,2023/2024,MOOT
355,Geophysics II,PHY 471,Physics with Electronics,400,2,First,2023/2024,MOOT
356,Medical Nuclear Physics and Radiation Instruments,PHY 461,Physics with Electronics,400,2,First,2023/2024,MOOT
357,Astronomy,PHY 493,Physics with Electronics,400,2,First,2023/2024,MOOT
358,Experimental Physics VI,PHY 407,Physics with Electronics,400,1,First,2023/2024,MOOT
359,Digital Electronics,PHY 421,Physics with Electronics,400,2,First,2023/2024,MOOT
360,Envirnmental noise and control,PHY 473,Physics with Electronics,400,2,First,2023/2024,MOOT
361,Electronic Instrumentation,PHY 425,Physics with Electronics,400,2,First,2023/2024,MOOT
362,Mathematical Physics,PHY 443,Physics with Electronics,400,3,First,2023/2024,MOOT
363,Quantum Mechanics I,PHY 441,Physics with Electronics,400,3,First,2023/2024,MOOT
364,Electronics II,PHY 423,Physics with Electronics,400,2,First,2023/2024,MOOT
365,Nuclear Physics,PHY 453,Physics with Electronics,400,3,First,2023/2024,MOOT
366,Statistical Physics,PHY 445,Physics with Electronics,400,3,First,2023/2024,MOOT
367,Stellar Structure and Galaxies,PHY 491,Physics with Electronics,400,2,First,2023/2024,MOOT
368,Quality control technics,PHY 447,Physics with Electronics,400,2,First,2023/2024,MOOT
386,HISTORY AND PHILOSOPHY OF SCIENCE,GST 115,Applied Microbiology,100,2,First,2023/2024,MOOT
387,General Physics I,PHY 101,Applied Microbiology,100,2,First,2023/2024,MOOT
388,General Practical Chemistry I,CHM 107,Applied Microbiology,100,1,First,2023/2024,MOOT
389,General Physics I,PHY 101,Applied Microbiology,100,2,First,2023/2024,MOOT
390,GENERAL BIOLOGY PRACTICAL I,BIO 107,Applied Microbiology,100,1,First,2023/2024,MOOT
391,GENERAL CHEMISTRY,CHM 101,Applied Microbiology,100,2,First,2023/2024,MOOT
392,Ethics,VUA ETH 171,Applied Microbiology,100,1,First,2023/2024,MOOT
393,General Biology I,BIO 101,Applied Microbiology,100,2,First,2023/2024,MOOT
394,Communication In English,GST 111,Applied Microbiology,100,2,First,2023/2024,MOOT
395,Experimental Physics I,PHY 107,Applied Microbiology,100,1,First,2023/2024,MOOT
396,Elementary Mathematics I,MTH 101,Applied Microbiology,100,2,First,2023/2024,MOOT
397,Introduction to Computer Science,CSC 101,Applied Microbiology,100,3,First,2023/2024,MOOT
413,Introductory Genetics And Cell Physiology,BIO 251,Applied Microbiology,200,3,First,2023/2024,MOOT
414,Physical Chemistry 1,CHM 241,Applied Microbiology,200,3,First,2023/2024,MOOT
415,Introductory Microbiology,MCB 221,Applied Microbiology,200,3,First,2023/2024,MOOT
416,Basic Techniques in Microbiology,MCB 231,Applied Microbiology,200,2,First,2023/2024,MOOT
417,Invertebrate Zoology,ZOO 221,Applied Microbiology,200,3,First,2023/2024,MOOT
418,BASIC SPIRITUAL THEOLOGY,GST 211,Applied Microbiology,200,1,First,2023/2024,MOOT
419,PEACE STUDY AND CONFLICT RESOLUTION,GST 221,Applied Microbiology,200,2,First,2023/2024,MOOT
420,INTRODUCTION TO ENTREPRENEURSHIP,GST 223,Applied Microbiology,200,2,First,2023/2024,MOOT
421,INTRODUCTION TO BIOCHEMISTRY,BCH 201,Applied Microbiology,200,3,First,2023/2024,MOOT
431,Introductory virology/spillover,MCB 361/ spillover,Applied Microbiology,300,2,First,2023/2024,MOOT
432,Introduction to Entrepreneurship/spillover,GST 311/spillover,Applied Microbiology,300,2,First,2023/2024,MOOT
433,Mycology,MCB 311/ spillover,Applied Microbiology,300,2,First,2023/2024,MOOT
434,Food Microbiology/spillover,MCB 301/spillover,Applied Microbiology,300,2,First,2023/2024,MOOT
435,Microbial Ecology/spillover,MCB 341/spillover,Applied Microbiology,300,2,First,2023/2024,MOOT
436,Bacterial diversity/spillover,MCB 321/spillover,Applied Microbiology,300,2,First,2023/2024,MOOT
437,Introduction to plant diseases/spillover,BOT 351/spillover,Applied Microbiology,300,2,First,2023/2024,MOOT
438,Introductory Enzymology,BCH 301,Applied Microbiology,300,3,First,2023/2024,MOOT
439,Introduction to Plant Disease,BOT 351,Applied Microbiology,300,3,First,2023/2024,MOOT
440,Immunology/spill over,MCB 371/ Spill over,Applied Microbiology,300,2,First,2023/2024,MOOT
441,Biodetoriation/spill over,MCB 381/ Spill over,Applied Microbiology,300,2,First,2023/2024,MOOT
442,Soil Microbiology/spill over,MCB 351/ Spill over,Applied Microbiology,300,2,First,2023/2024,MOOT
443,Genetic Variability & Evolution,BIO 313/ Spill over,Applied Microbiology,300,2,First,2023/2024,MOOT
444,Food Microbiology,MCB 301,Applied Microbiology,300,3,First,2023/2024,MOOT
445,Introduction to Entrepreneurship Studies,GST 311,Applied Microbiology,300,3,First,2023/2024,MOOT
446,Introductory Virology,MCB 361,Applied Microbiology,300,3,First,2023/2024,MOOT
447,Introductory Virology,MCB 361,Applied Microbiology,300,2,First,2023/2024,MOOT
448,Bacterial Diversity,MCB 321,Applied Microbiology,300,2,First,2023/2024,MOOT
449,Introduction to Plant Disease,BOT 351,Applied Microbiology,300,2,First,2023/2024,MOOT
450,Microbial Ecology,MCB 341,Applied Microbiology,300,2,First,2023/2024,MOOT
451,Mycology,MCB 311,Applied Microbiology,300,2,First,2023/2024,MOOT
452,Food Microbiology,MCB 301,Applied Microbiology,300,2,First,2023/2024,MOOT
453,Mycology,MCB 311,Applied Microbiology,300,3,First,2023/2024,MOOT
454,Microbial Ecology,MCB 341,Applied Microbiology,300,3,First,2023/2024,MOOT
455,Bacterial Diversity,MCB 321,Applied Microbiology,300,3,First,2023/2024,MOOT
